route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L1D1,1,1,"Sídliště Petřiny - Spojovací",0,
L200D1,1,200,"Sídliště Bohnice - Kobylisy",3,
L201D1,1,201,"Nádr. Holešovice - Černý Most",3,
L202D1,1,202,"Nádraží Kbely - Polikl. Mazurská",3,
L203D63,63,203,"Háje - Poliklinika Budějovická",3,
L207D1,1,207,"Ohrada - Staroměstská",3,
L208D29,29,208,"Bezděkovská - Obchodní centrum Štěrboholy - Depo Hostivař",3,
L209D29,29,209,"Obchodní centrum Čakovice - Ve Žlíbku - Nádraží Uhříněves",3,
L20D1,1,20,"Divoká Šárka - Sídliště Barrandov",0,
L210D29,29,210,"Nádraží Klánovice - Netušilská",3,
L211D18,18,211,"Nádraží Klánovice - Sídliště Rohožník",3,
L212D13,13,212,"Nepasické náměstí - Nádraží Klánovice-sever",3,
L213D1,1,213,"Nádraží Uhříněves - Želivského",3,
L215D1,1,215,"Sídliště Libuš - Kačerov",3,
L216D1,1,216,"Bořislavka - Sídliště Baba",3,
L21D1,1,21,"Levského - Radlická",0,
L220D18,18,220,"Černý Most - K Zelenči - Černý Most",3,
L221D29,29,221,"Klánovice - Černý Most",3,
L222D1,1,222,"VÚ Běchovice - Černý Most",3,
L223D18,18,223,"Ratibořická - Černý Most - Depo Hostivař",3,
L224D63,63,224,"Sídliště Petrovice - Nádraží Horní Počernice",3,
L225D1,1,225,"Nové Vokovice - Velká Ohrada",3,
L226D11,11,226,"Benice - Lipany - Háje",3,
L227D1,1,227,"Háje - Nedvězí",3,
L228D1,1,228,"Benice - Nádraží Uhříněves",3,
L229D1,1,229,"Depo Hostivař - Královice",3,
L22D1,1,22,"Bílá Hora - Nádraží Hostivař",0,
L230D1,1,230,"Filmové ateliéry - Holyně",3,
L231D1,1,231,"Na Knížecí - Dívčí hrady - Na Knížecí",3,
L236D1,1,236,"Podhoří - Zámky",3,
L23D1,1,23,"Královka - Zvonařka",0,
L240D18,18,240,"Háje - Černý Most",3,
L241D1,1,241,"Smíchovské nádr. - Lipence",3,
L243D17,17,243,"Kazín - Lipence - Dolní Černošice",3,
L244D1,1,244,"Sídliště Radotín - Smíchovské nádr.",3,
L245D1,1,245,"Nádraží Radotín - Otěšínská - Nádraží Radotín",3,
L246D1,1,246,"Sídliště Stodůlky - Zbraslavské náměstí",3,
L24D1,1,24,"Palmovka - Kubánské náměstí",0,
L250D1,1,250,"Černý Most - Sídliště Rohožník",3,
L251D1,1,251,"Sídliště Čimice - Šimůnkova",3,
L252D1,1,252,"Ústřední - Morseova",3,
L253D1,1,253,"Škola Dubeč - Štěrboholy",3,
L254D18,18,254,"Přeštická - Morseova",3,
L255D1,1,255,"Nebušice - Dejvická",3,
L256D1,1,256,"Knovízská - Mokrá",3,
L257D6,6,257,"Miškovice - Náměstí Jiřího Berana",3,
L258D1,1,258,"Žvahov - Štěpařská - Hlubočepy",3,
L259D1,1,259,"Hostavice - Hloubětínská",3,
L25D1,1,25,"Bílá Hora - Lehovec",0,
L260D1,1,260,"Bílá Hora - Na Okraji",3,
L261D1,1,261,"Sídliště Zbraslav - Velká Chuchle",3,
L262D1,1,262,"Sídliště Rohožník - Ratibořická",3,
L264D1,1,264,"Sudějovická - Hulická",3,
L265D1,1,265,"Stadion Strahov - Weberova",3,
L266D1,1,266,"Nové Butovice - Zadní Kopanina",3,
L267D1,1,267,"Habrová - Olšanské náměstí",3,
L269D1,1,269,"Otěšínská - Škola Radotín",3,
L26D1,1,26,"Divoká Šárka - Nádraží Hostivař",0,
L270D1,1,270,"Pitkovice - Na Vartě",3,
L271D1,1,271,"Správa sociál. zab. - Škola Radlice",3,
L272D1,1,272,"Dolnokřeslická - Nádraží Uhříněves",3,
L275D1,1,275,"Nám. Jiřího Berana - Sídliště Čakovice",3,
L293D1,1,X113,"Na Beránku - Točná",3,
L294D1,1,X124,"Dvorce - Zelený pruh",3,
L2D1,1,2,"Sídliště Petřiny - Nádraží Braník",0,
L300D8,8,300,"Kladno,Rozdělov/Kladno,U Kostela - Praha,Nádraží Veleslavín",3,
L301D1,1,301,"Luka - Ořech",3,
L302D63,63,302,"Přezletice,Kocanda - Praha,Palmovka",3,
L303D18,18,303,"Praha,Černý Most - Říčany,Wolkerova",3,
L304D18,18,304,"Praha,Černý Most - Úvaly,žel.st.",3,
L305D1,1,305,"Hovorčovice - Náměstí Jiřího Berana",3,
L306D8,8,306,"Jeneč,Lidická - Praha,Zličín",3,
L307D8,8,307,"Praha,Zličín - Unhošť,náměstí",3,
L308D21,21,308,"Praha,Zličín - Nučice,Prokopská náves",3,
L309D21,21,309,"Praha,Nádraží Radotín - Choteč -  Praha,Zličín",3,
L30D1,1,30,"Bulovka - Sídliště Ďáblice",0,
L310D21,21,310,"Rudná,Zdravotní středisko - Praha,Zličín",3,
L311D21,21,311,"Praha,Zličín - Řevnice,Náměstí",3,
L312D1,1,312,"Bořislavka - Lichoceves",3,
L313D21,21,313,"Černošice,Žel.zast. - Praha,Nádraží Radotín",3,
L314D17,17,314,"Praha,Smíchovské nádraží - Nová Ves p. Pleší",3,
L315D21,21,315,"Praha,Sídliště Radotín - Černošice,U Transformátoru",3,
L316D8,8,316,"Kralupy n.Vlt.,Žel.st. - Praha,Bořislavka",3,
L317D17,17,317,"Praha,Smíchovské nádraží - Dobříš,náměstí",3,
L318D17,17,318,"Praha,Smíchovské nádraží - Řitka",3,
L319D8,8,319,"Unhošť,nám. - Praha,Terminál 1/Praha,Letiště",3,
L320D17,17,320,"Praha,Smíchovské nádraží - Mníšek p.Brdy,Žel.zast.Rymaně",3,
L321D17,17,321,"Mníšek pod Brdy,Stříbrná Lhota - Praha,Smíchovské nádraží",3,
L322D8,8,322,"Kladno,Autobusové nádraží - Praha,Nádraží Veleslavín",3,
L323D24,24,323,"Koleč,Zámek - Praha,Nádraží Veleslavín",3,
L323D37,37,323,"Koleč,Zámek - Praha,Nádraží Veleslavín",3,
L324D8,8,324,"Kladno,Energie - Praha,Zličín",3,
L325D11,11,325,"Čestlice,Kika-Aquapalace - Praha,Nádraží Uhříněves",3,
L326D18,18,326,"Praha,Volha - Jesenice,Belnická",3,
L327D18,18,327,"Praha,Opatov - Jesenice",3,
L328D18,18,328,"Praha,Opatov - Modletice,Doubravice",3,
L329D1,1,329,"Sídliště Skalka - Škvorec,nám.",3,
L330D34,34,330,"Smečno - Praha,Nádraží Veleslavín",3,
L330D37,37,330,"Smečno - Praha,Nádraží Veleslavín",3,
L331D18,18,331,"Jílové u Prahy,náměstí - Praha,Kačerov",3,
L332D18,18,332,"Neveklov - Praha,Budějovická",3,
L333D18,18,333,"Praha,Kačerov - Březová-Oleško,Oleško",3,
L334D17,17,334,"Psáry - Smíchovské nádraží",3,
L335D18,18,335,"Praha,Budějovická - Kamenice,Kult.dům",3,
L336D8,8,336,"Hostivice,Ve vilkách - Praha,Zličín",3,
L337D18,18,337,"Pyšely,nám. - Praha,Budějovická",3,
L338D21,21,338,"Praha,Smíchovské nádraží - Hradištko,Pikovice,Most",3,
L339D18,18,339,"Praha,Budějovická - Týnec nad Sázavou,Železniční stanice",3,
L340D1,1,340,"Roztoky,Levý Hradec - Dejvická",3,
L341D18,18,341,"Praha,Obchodní náměstí- Jílové u Prahy,náměstí/Jesenice",3,
L343D18,18,343,"Praha, Nádraží Klánovice-sever - Nehvizdy",3,
L344D18,18,344,"Horoušany,U rybníka - Praha,Černý Most",3,
L346D10,10,346,"Praha,Černý Most - Brandýs n.L.-St.Bol.,Nem. - Praha,Černý Most",3,
L347D1,1,347,"Motol - Zličín",3,
L348D18,18,348,"Zálezlice,Kozárovice - Praha,Bulovka",3,
L349D10,10,349,"Praha,Ládví - Mělník,Mlazice,železniční zastávka",3,
L350D8,8,350,"Kladno,OAZA - Praha,Dejvická",3,
L351D1,1,351,"Neratovice,Žel.st. - Letňany",3,
L352D1,1,352,"Chýnice - Luka",3,
L353D18,18,353,"Svémyslice/Horoušany,Horoušánky - Praha, Černý Most",3,
L354D29,29,354,"Praha,Černý Most - Nehvizdy",3,
L355D1,1,355,"Únětice - Dejvická",3,
L356D8,8,356,"Praha,Bořislavka- Statenice",3,
L357D1,1,357,"Nádraží Uhříněves - Nupaky,hotel",3,
L358D21,21,358,"Rudná,Hořelice - Praha,Zličín",3,
L359D1,1,359,"Suchdol - Roztoky,Bělina",3,
L360D21,21,360,"Sedlčany, aut.st. - Praha, Smíchovské nádraží",3,
L361D21,21,361,"Praha,Smíchovské nádraží - Dobříš,nám.",3,
L362D18,18,362,"Jílové u Prahy,náměstí - Praha,Budějovická",3,
L363D1,1,363,"Velké Popovice,Todice - Opatov",3,
L364D1,1,364,"Depo Hostivař - Doubek",3,
L366D1,1,366,"Depo Hostivař - Březí,Podskalí",3,
L367D10,10,367,"Brandýs n.L.-St.Bol.,Železniční stanice - Praha,Černý Most",3,
L368D10,10,368,"Předboj - Praha,Ládví",3,
L369D10,10,369,"Štětí,autobusové nádraží - Praha,Ládví",3,
L370D10,10,370,"Kralupy n. Vlt.,Žel.st. - Praha,Kobylisy",3,
L371D10,10,371,"Praha,Kobylisy - Klecany,Klecánky/Husinec,Řež,Závod",3,
L372D10,10,372,"Praha,Kobylisy - Kralupy n. Vlt.,Žel.st.",3,
L373D10,10,373,"Neratovice,Korycany - Praha,Kobylisy",3,
L374D10,10,374,"Odolena Voda,Závod - Praha,Kobylisy",3,
L375D10,10,375,"Brandýs n.L.-St.Bol.,Žel.st.- Praha,Českomoravská",3,
L376D10,10,376,"Praha,Letňany - Brandýs n.L.-St. Bol.,Nádr.",3,
L377D10,10,377,"Kostelec n.L.,Náměstí - Praha,Letňany",3,
L378D10,10,378,"Jenštejn,Hradní/Radonice,Spojovací - Praha,Letňany",3,
L379D10,10,379,"Brandýs n.L.-St.Bol.,Aut.st. - Praha,Černý Most",3,
L380D21,21,380,"Praha,Kukulova/Vypich - Beroun,autobusové nádraží",3,
L381D11,11,381,"Kutná Hora,aut.st. - Praha,Háje",3,
L382D11,11,382,"Praha,Háje - Sázava,aut.st.",3,
L383D18,18,383,"Chocerady - Praha,Háje",3,
L384D21,21,384,"Beroun,Hostim - Praha,Zličín",3,
L385D18,18,385,"Louňovice - Praha,Opatov",3,
L386D8,8,386,"Hostivice,Ve Vilkách - Praha,Zličín",3,
