route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L808D1,1,X8,"Strossmayerovo nám. - Florenc",3,
L810D1,1,X10,"Palmovka - Bulovka - Palmovka",3,
L816D1,1,X16,"Polikl. Vysočany - Lehovec - Polikl. Vysočany",3,
L873D1,1,873,"Nádraží Holešovice - Císařský mlýn - Nádraží Holešovice",3,
L890D1,1,ZOO,"Parking Blanka - Troja - Zoologická zahrada",3,
L894D1,1,X94,"Polikl. Vysočany - Lehovec - Polikl. Vysočany",3,
L895D1,1,X95,"Palmovka - Vozovna Kobylisy",3,
L897D1,1,X97,"Malovanka - Bílá Hora",3,
L8D1,1,8,"Nádraží Podbaba - Lehovec",0,
L901D1,1,901,"Skalka - Anděl",3,
L902D1,1,902,"Třebonice - Lysolaje",3,
L903D1,1,903,"Sídliště Radotín - Chaplinovo nám.",3,
L904D1,1,904,"Sídliště Písnice - Sídliště Stodůlky",3,
L905D1,1,905,"Sídliště Čimice - Jižní Město",3,
L906D1,1,906,"Skalka - Nedvězí",3,
L907D1,1,907,"Lipence - Přední Kopanina",3,
L908D1,1,908,"Jinonice - Koloděje",3,
L909D1,1,909,"Suchdol - Sídliště Rohožník",3,
L910D1,1,910,"Terminál 1 - Na Beránku",3,
L911D1,1,911,"Nádraží Hostivař - Sídliště Čakovice",3,
L912D1,1,912,"Ve Žlíbku - Lehovec",3,
L913D1,1,913,"Písnice - Dolní Chabry",3,
L914D1,1,914,"Březiněves - Třebenická",3,
L915D1,1,915,"Cukrovar Čakovice - Miškovice",3,
L91D1,1,91,"Divoká Šárka - Nádraží Strašnice",0,
L92D1,1,92,"Lehovec - Sídliště Modřany",0,
L93D1,1,93,"Sídliště Ďáblice - Vozovna Pankrác",0,
L94D1,1,94,"Vysočanská - Sídliště Barrandov",0,
L951D21,21,951,"Dobřichovice,Pošta - Praha,Chaplinovo náměstí",3,
L952D21,21,952,"Praha,Sídliště Řepy - Beroun,U Černého koně",3,
L953D10,10,953,"Brandýs n.L.-St.Boleslav,Aut.st. - Praha,Palmovka",3,
L954D8,8,954,"Číčovice,Velké Číčovice - Praha,Vítězné náměstí",3,
L955D1,1,955,"Modrá škola - Čestlice",3,
L956D18,18,956,"Jílové u Prahy,Náměstí - Praha,Budějovická",3,
L957D8,8,957,"Hostivice,Ve Vilkách - Praha,Sídliště Řepy",3,
L958D10,10,958,"Odolena Voda,Dolní náměstí - Praha,Kobylisy",3,
L959D11,11,959,"Kostelec n.Č.l.,Nám. - Praha,Palmovka",3,
L95D1,1,95,"Palmovka - Ústřední dílny DP",0,
L960D18,18,960,"Zlatníky-Hodkovice,Náves - Praha,Obchodní náměstí",3,
L96D1,1,96,"Sídliště Petřiny - Spořilov",0,
L97D1,1,97,"Bílá Hora - Nádraží Hostivař",0,
L981D17,17,Cyklobus,"Dobřichovice,nádraží - Mníšek pod Brdy,náměstí - Kytín",3,
L98D1,1,98,"Spojovací - Sídliště Řepy",0,
L991D1,1,A,"Nemocnice Motol - Petřiny - Skalka - Depo Hostivař",1,408000
L992D1,1,B,"Zličín - Černý Most",1,FFFF00
L993D1,1,C,"Letňany - Ládví - Háje",1,FF0000
L99D1,1,99,"Sídliště Řepy - Nádraží Hostivař",0,
L9D1,1,9,"Spojovací - Sídliště Řepy",0,
