stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
U4470Z1,"Václavice,Statek",49.789407,14.61317,0,,2
U4471Z1,"Chrášťany",49.79274,14.586575,0,,2
U4472Z1,"Chrášťany,Benice",49.793645,14.556499,0,,2
U4473Z1,"Chrášťany,Soběšovice",49.796024,14.544019,0,,2
U4474Z1,"Netvořice,Dunávice",49.811413,14.545444,0,,2
U4475Z1,"Chleby,Rozc.",49.818528,14.548629,0,,2
U4477Z1,"Netvořice,Vojtěchov",49.821562,14.533829,0,,2
U4495Z2,"Týnec n.Sáz.,Kult.dům",49.830288,14.589841,0,,2
U4514Z1,"Týnec n.Sáz.,Pila",49.831741,14.583852,0,,2
U4515Z1,"Týnec n.Sáz.,Podělusy",49.836544,14.574442,0,,2
U4516Z1,"Lešany,Brejlov",49.838804,14.563065,0,,2
U4517Z1,"Lešany,Rozc.Vazovnice",49.839099,14.546408,0,,2
U4505Z3,"Lešany,Břežany",49.838112,14.528707,0,,2
U4473Z4,"Chrášťany,Soběšovice",49.796039,14.543283,0,,2
U4574Z2,"Neveklov,Ouštice",49.783441,14.54043,0,,2
U4571Z2,"Neveklov,Borovka,Rozc.",49.770998,14.529261,0,,2
U4571Z1,"Neveklov,Borovka,Rozc.",49.770818,14.529152,0,,2
U4574Z1,"Neveklov,Ouštice",49.783261,14.540501,0,,2
U4473Z3,"Chrášťany,Soběšovice",49.795896,14.543451,0,,2
U4517Z2,"Lešany,Rozc.Vazovnice",49.838965,14.546493,0,,2
U4516Z2,"Lešany,Brejlov",49.838614,14.562942,0,,2
U4515Z2,"Týnec n.Sáz.,Podělusy",49.836409,14.574402,0,,2
U4514Z2,"Týnec n.Sáz.,Pila",49.831624,14.583659,0,,2
U4495Z1,"Týnec n.Sáz.,Kult.dům",49.830154,14.589982,0,,2
U4511Z2,"Týnec n.Sáz.,Brodce",49.834284,14.598662,0,,2
U4510Z2,"Týnec n.Sáz.,Pecerady,Podhajský ryb.",49.834633,14.606151,0,,2
U4509Z2,"Týnec n.Sáz.,Pecerady,Hřiště",49.837234,14.609397,0,,2
U4508Z2,"Týnec n.Sáz.,Pecerady,Jednota",49.8396,14.615216,0,,2
U2863Z1,"Týnec n.Sáz.,Pecerady,Žel.st.",49.834256,14.626339,0,,0
U4490Z1,"Bukovany",49.8242,14.618299,0,,2
U2545Z4,"Neveklov,Jablonka",49.777611,14.464124,0,,0
U4460Z2,"Neveklov,Kelce",49.773187,14.467962,0,,2
U4456Z2,"Neveklov,Bělice",49.766183,14.471939,0,,2
U4457Z1,"Neveklov,Blažim,Rozc.Chlum",49.76184,14.460022,0,,2
U4458Z2,"Neveklov,Blažim",49.761989,14.453373,0,,2
